YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
2015,1,2,5,MQ,3459,N620MQ,PNS,MIA,1751,1749,-2,21,1810,103,117,89,530,2039,7,2034,2046,12,0,0,,NULL,NULL,NULL,NULL,NULL
2015,1,2,5,OO,6504,N926SW,SJC,DEN,1751,1753,2,11,1804,154,164,146,948,2130,7,2125,2137,12,0,0,,NULL,NULL,NULL,NULL,NULL
2015,1,2,5,UA,1573,N14219,IAD,TPA,1752,1837,45,10,1847,145,131,116,811,2043,5,2017,2048,31,0,0,,0,0,16,15,0
2015,1,2,5,NK,863,N515NK,LBE,MCO,1752,1736,-16,10,1746,143,142,119,824,1945,13,2015,1958,-17,0,0,,NULL,NULL,NULL,NULL,NULL
2015,1,2,5,UA,72,N37413,SFO,DEN,1753,1750,-3,15,1805,150,153,127,967,2112,11,2123,2123,0,0,0,,NULL,NULL,NULL,NULL,NULL
2015,1,2,5,DL,1356,N319NB,RNO,SLC,1753,1854,61,8,1902,87,79,65,422,2107,6,2020,2113,53,0,0,,0,0,0,53,0
2015,1,2,5,OO,6481,N719SK,SEA,DEN,1753,1811,18,21,1832,152,143,115,1024,2127,7,2125,2134,9,0,0,,NULL,NULL,NULL,NULL,NULL
2015,1,2,5,UA,601,N831UA,ALB,ORD,1754,1807,13,15,1822,151,148,122,723,1924,11,1925,1935,10,0,0,,NULL,NULL,NULL,NULL,NULL
2015,1,2,5,UA,1586,N17233,IAH,MCO,1754,2130,216,15,2145,131,124,104,854,29,5,2105,34,209,0,0,,0,0,209,0,0
2015,1,2,5,AA,60,N368AA,DFW,MIA,1754,1753,-1,22,1815,160,167,137,1121,2132,8,2134,2140,6,0,0,,NULL,NULL,NULL,NULL,NULL
